PRDM1	388.8
DBX2	389
ATF7	389.8
NHLH2	391
HBP1	391.3
TRERF1	392
C11ORF95	393
ZNF334	393.3
JAZF1	393.3
ZNF449	394
PROX1	394.8
ZNF311	395
KLF10	395.3
ZNF436	395.7
GTF2B	395.8
KLF13	396
ZNF25	396
RBPJ	396.4
HOXB5	397.3
IRF1	401
PAX8	401.5
SMAD1	404
ZNF418	406.3
HLX	406.7
SREBF1	406.8
MYCN	407.8
SOX4	408.7
GATA3	410.2
RELB	410.3
RARG	412.3
MAFK	412.4
NR3C2	412.7
SIX5	414
TSHZ1	415.3
HOXD13	415.5
CUX1	415.8
ZNF407	416.3
ARX	416.3
CREB1	417.5
ZNF248	418
RUNX3	418.6
GFI1B	419
MYOD1	419.4
POU6F1	420.7
ZNF404	420.7
ZNF354B	420.7
NPAS4	423
CREB3L1	423.5
GRHL2	423.6
NANOG	424.3
ZNF362	427.7
MAFG	427.8
ZNF175	428.3
EBF4	431.7
LMX1B	432
FOXN2	432.3
CLOCK	436.2
MAFB	436.3
PURB	436.5
ZNF214	436.7
BACH2	437
ZNF331	437.7
SOX1	438
RXRA	438
LMX1A	438
ZNF30	439
NR2E1	441.7
SIX1	443
CAMTA1	444.3
HOXA13	445
HNF4A	446.8
ZNF438	447
NFE4	447
KDM5B	447
ZNF267	448.7
PAX3	450.3
LHX8	454.3
POU3F4	455
HOXB13	455
LTF	456.5
PDX1	457.6
SOX21	458.3
CUX2	459.7
GPBP1L1	462
PITX2	463
RREB1	465
ZBTB4	465
ZNF280A	466.3
HMGN3	467
NFE2	467.4
REL	468
RARA	468.2
HIVEP2	468.3
ISL1	468.3
ZNF286B	468.5
RBSN	468.5
FOXD2	469
ZNF112	469.5
ZFP37	471
HNF4G	471.8
EMX2	472.7
ZKSCAN2	472.7
LHX1	473
ETV5	473.7
SALL4	474.5
BATF	474.8
IRX2	475
SKIL	476.3
TP63	476.6
ZNF75D	476.7
HIVEP3	477.7
ZNF322	478.5
EGR4	478.7
SRF	478.8
SATB2	480
GABPA	480.3
RBPJL	481.3
JUND	481.8
DPF3	483.3
ZSCAN25	483.5
ZNF711	485
MAX	485.8
ZHX2	486.8
HMBOX1	487
TFEC	487.7
SCRT2	488
ZNF274	488.2
REST	488.2
MYC	488.7
ELK4	489
ARID3A	491
NFKB2	491.8
ZFPM2	493
RELA	493.5
ZNF652	493.8
ETV6	494.8
ALX1	495
ZFP1	495.3
HHEX	496.3
NFAT5	496.3
KLF15	496.7
AHRR	497
TEF	497.7
ZNF655	498.3
STAT1	499.8
ZIC5	500.3
DUX4	500.5
NEUROD1	501.5
FOXE1	501.7
HOXA6	501.7
PPARD	501.8
ESRRG	502
SPI1	504.8
ZNF665	505
HIF3A	505.3
FOXP3	507.5
ZNF621	508
SMAD4	508.8
FERD3L	509
TBR1	509.3
TFAP2A	509.7
NFE2L3	510.7
ZNF641	511.3
ATF1	513
HOXA5	515
ZNF395	516.7
ASCL1	516.8
ZNF382	517.7
NEUROD6	517.7
CREM	518.4
ZNF34	518.7
PKNOX2	519.3
ZBED2	520.7
TFCP2L1	521
BNC1	521.3
DMRT2	522
IRF2	522
ZNF329	522.7
ZFP3	523
SMYD3	523
CTCFL	523.2
NFKB1	524
PHOX2B	524
RAG1	524.7
NFATC3	525
SKI	525.5
HIVEP1	526
ZNF827	527
EEA1	527.3
HOXD9	529
ESRRB	530.5
MAF	531
NR5A1	532
ZNF415	532.7
NPAS2	532.7
PHF21A	533
HES6	535.3
SMAD5	536
MYT1L	537.3
IRF4	537.4
ELK1	542.4
MYF5	543
SOX5	543.7
SP1	544.4
KLF3	544.8
ZNF578	545.7
XBP1	545.8
ZNF394	547.3
TEAD4	547.5
IRX6	547.7
ZNF287	548.7
FOXL2	549.3
MYBL1	550.3
GZF1	551.3
NANOGP8	552.5
ZNF208	553.3
RFX3	555
STAT6	556.3
ZNF595	556.5
ARID5A	557.5
STAT5B	558.8
ZNF80	559.3
ZNF746	560.3
ZNF177	560.3
GCM2	561.7
NKX32	564
DLX5	564.3
ATF2	564.6
ARID3B	565.5
TBXT	565.8
TBP	566.6
HOXD11	567.3
KLF8	568
HSF2	568.3
ZNF71	569
ZNF471	569
VEZF1	571.7
PAX5	572.2
ZNF467	573.3
E2F4	573.5
HOXC9	573.8
SCML4	576.3
BARHL2	576.3
RORA	576.7
STAT2	577.8
ZNF70	578.3
HOXC5	578.3
HOXC11	580
ZNF157	582
FEZF2	582
NEUROD2	584
ZNF781	584.3
SGSM2	586
EGR3	586
DPF1	586.3
FOXM1	587
ZNF337	587.3
HOXC4	587.7
POU5F1	589.2
CDX2	589.6
MXD4	591
ZNF800	591
CGGBP1	591
CTCF	593
ZNF428	593.7
ZBTB8A	594
ATOH1	594
NR5A2	594.5
ZBED1	594.8
ZBTB41	597.7
NCOA3	597.8
ETV4	600.3
SOHLH1	601
NR1H2	601
POU4F1	602.3
IKZF4	602.7
ZNF676	604.7
NFE2L1	604.8
MSANTD4	605
LYL1	605.2
FOXI1	606
BATF3	606.7
NKX23	607.5
POU2F1	608.3
ZHX1	608.8
SPDEF	609.3
FAM200B	609.5
MYBL2	609.8
ZFX	612.6
SP3	612.7
DLX6	613.3
ATF6	614.3
ZKSCAN1	614.4
IRX5	615
SETDB1	615.2
ZBTB47	616
CPEB1	617
STAT4	617.5
ZFP30	618.3
POU3F1	619.5
ZNF470	620.7
ELF3	622
ZNF727	622
AIRE	622.7
FOXQ1	623
HOXA1	623.3
MAFA	623.7
L3MBTL3	625
MBD2	625.5
ZBTB43	626.3
E2F7	626.6
USF2	627
IKZF2	628.7
MEF2B	629.5
SKOR1	630
NKX21	630.5
ZBTB21	631
BARHL1	632.7
ZSCAN16	633.7
TFEB	633.8
ZSCAN1	637.3
NEUROD4	637.7
ZNF391	638
SREBF2	638
PPARA	639
ZNF385A	639.3
FEZF1	639.3
ZIK1	640
ZBTB34	640
ZNF429	640
KMT2A	640
THAP11	640.4
ZNF639	640.5
USF3	640.5
NCOA2	641.3
ONECUT2	642
E2F1	642.7
ZNF552	643.3
ZNF831	643.7
NFYB	643.8
SP2	644.2
XPA	644.3
ZNF808	644.3
TBX4	644.7
TCF3	644.7
TBX21	645.8
ARNTL2	646
GSC	646.3
TIGD3	646.3
DMTF1	646.3
ZNF219	647
ESRRA	647
GTF2IRD2	647.3
POU2F2	647.6
INSM1	648.7
DEAF1	650
VAX1	650.3
PRDM14	650.4
ATF4	650.5
MTF2	650.7
ZNF384	651
PBX4	651.7
FEV	652
ETV3L	652.3
HOXB9	652.7
ZFP82	652.7
LHX5	653.3
ZBTB8B	653.5
NR1D1	655.3
EMX1	655.3
ZNF254	655.3
ZNF671	655.7
GTF2IRD1	657.5
USF1	657.6
ZXDA	658
HOXD12	658
ZNF484	658.3
EHF	658.8
TGIF2	659
FOXD3	659
OTP	660.3
HSF1	660.6
TP53	660.6
ZNF667	660.7
PAX7	661
ZFP57	662.3
ZNF114	662.3
DDIT3	663
VSX2	663
NR1I2	663.3
ETV3	665
SRY	665.3
GFI1	665.3
TGIF1	665.3
RFX4	666
GRHL1	666.3
DMRT1	668.3
HOXA4	668.7
TIGD1	670
ZNF648	671.3
ZNF281	671.3
SOX3	671.7
LCORL	671.7
GSX2	672
ZNF713	672.7
FOXD4L5	674
NRF1	675
POU6F2	675
POU4F2	677.3
FOXI3	679
ZNF300	680.7
NR2E3	682.5
NEUROG2	684.3
CSRNP2	686
ZNF575	686.3
ZNF263	686.3
SP4	686.6
ZNF835	686.7
HOXB8	687
ZNF285	687
SOX14	688.3
PCGF2	689
HES4	693.3
ZNF493	694
FOXE3	694
ZNF22	694.7
ZNF165	695.8
TLX2	697
ELF4	697.3
NR2C2	698.2
GTF2IRD2B	698.7
ZNF708	699.3
ZNF442	700.3
ZNF184	700.7
EN1	701
VSX1	702
AEBP2	702.7
SP110	703.3
GLYR1	704.3
POU1F1	704.7
ZBTB33	705.4
TFE3	705.7
MECOM	706
VENTX	707.3
ZNF460	708
KLF1	708.4
MTERF2	709.5
ZMAT1	709.7
MBD4	710
ZNF626	710.3
ZNF354A	711
IRX3	711.3
ZBTB24	711.7
ZNF703	711.7
OVOL2	712
PURA	712.5
ZNF649	713
ZNF528	713.3
CREB3L4	714
TLX3	714.3
ZNF396	714.3
PAX1	715.7
FOXD4L1	715.7
ZXDB	715.7
TAL2	716.3
ZNF516	717.3
ZXDC	718.3
ZNF699	719.7
SNAI3	720
ZNF880	720.5
