fastqs,sample,library_type
/hpcnfs/techunits/genomics/PublicData/Nicassio/mcliment/FASTQ/190322_A00302_0060_BHJCCMDMXX/Sample_S21968_340/,S21968_340,Gene Expression
/hpcnfs/techunits/genomics/PublicData/Nicassio/mmarzi/FASTQ/190625_A00302_0079_BHHC7TDMXX/Sample_S22855_340/,S22855_340,Gene Expression
/hpcnfs/techunits/genomics/PublicData/Nicassio/mmarzi/FASTQ/190508_A00302_0070_AHHCJ5DMXX/Sample_S22105_d13/,S22105_d13,CRISPR Guide Capture
